Function,Runs,Iterations per Run,Average Time (seconds),Standard Deviation (seconds)
original_pack,2,2,0.056505,0.028757
original_pack,10,10,0.178049,0.107039
original_pack,100,100,1.42667,0.959041
original_pack,1000,1000,14.263731,9.609691
original_unpack,2,2,0.008279,0.003667
original_unpack,10,10,0.022323,0.013373
original_unpack,100,100,0.162048,0.108267
original_unpack,1000,1000,1.619457,1.088614
early_exit_unpack,2,2,0.007520,0.003426
early_exit_unpack,10,10,0.021356,0.013168
early_exit_unpack,100,100,0.170902,0.120682
early_exit_unpack,1000,1000,1.631042,1.097240
no_fstring_unpack,2,2,0.015273,0.003021
no_fstring_unpack,10,10,0.021882,0.011743
no_fstring_unpack,100,100,0.181530,0.121794
no_fstring_unpack,1000,1000,1.792826,1.207259
np_pack,2,2,0.001308,0.000172
np_pack,10,10,0.001358,0.000690
np_pack,100,100,0.011866,0.008005
np_pack,1000,1000,0.120455,0.081037
np_unpack,2,2,0.000052,0.000001
np_unpack,10,10,0.000013,0.000018
np_unpack,100,100,0.000027,0.000017
np_unpack,1000,1000,0.000226,0.000150
array_pack,2,2,0.012304,0.005825
array_pack,10,10,0.038776,0.025192
array_pack,100,100,0.372552,0.252902
array_pack,1000,1000,3.753558,2.523346
array_unpack,2,2,0.000258,0.000116
array_unpack,10,10,0.000761,0.000484
array_unpack,100,100,0.006974,0.004491
array_unpack,1000,1000,0.061746,0.042755

